Date/Time,DistrictCooling:HVAC [J](Hourly),DistrictHeating:HVAC [J](Hourly) 
 01/01  01:00:00,1407103.632102807,1443478.3847280259 
 01/01  02:00:00,1080499.0094557488,1589715.3042626614 
 01/01  03:00:00,972152.3936685552,1674327.844063459 
 01/01  04:00:00,975206.1811881933,1729772.9847091464 
 01/01  05:00:00,946149.5818564908,1750690.3856429933 
 01/01  06:00:00,876023.8937263631,1789827.1195271746 
 01/01  07:00:00,858832.9537686498,1762489.3490594716 
 01/01  08:00:00,847200.626686197,1749974.7911584966 
 01/01  09:00:00,0.0,2181222.6757041328 
 01/01  10:00:00,0.0,3137880.7970459973 
 01/01  11:00:00,0.0,2486297.365283053 
 01/01  12:00:00,0.0,1650011.8542453004 
 01/01  13:00:00,0.0,1170885.0383413024 
 01/01  14:00:00,0.0,590324.1053774334 
 01/01  15:00:00,0.0,372723.6133576708 
 01/01  16:00:00,0.0,432980.97149406694 
 01/01  17:00:00,1985528.7815794358,553256.2573637682 
 01/01  18:00:00,2590237.323646114,619370.9773229868 
 01/01  19:00:00,2424299.0565170506,755107.9399275705 
 01/01  20:00:00,2212584.9419741477,866185.4797855492 
 01/01  21:00:00,2014506.3661462134,993262.9560288959 
 01/01  22:00:00,1904318.0972480103,1116620.6691493501 
 01/01  23:00:00,1728924.5123102334,1267032.3111143468 
 01/01  24:00:00,1557636.8256384518,1405806.3891159762 
 01/02  01:00:00,1527939.4564891376,1388544.807087266 
 01/02  02:00:00,1488464.1322430884,1400637.7033448715 
 01/02  03:00:00,1412593.3896579074,1485415.8347887876 
 01/02  04:00:00,1362433.0645442079,1561810.3567722542 
 01/02  05:00:00,1277992.2897532864,1619870.66790899 
 01/02  06:00:00,1171745.3875078387,1684907.2791501635 
 01/02  07:00:00,1100345.8266798267,1709863.108745486 
 01/02  08:00:00,1018622.2583012026,1772524.675372169 
 01/02  09:00:00,0.0,1976623.1565643786 
 01/02  10:00:00,0.0,3005117.7460576994 
 01/02  11:00:00,0.0,2348651.679466929 
 01/02  12:00:00,0.0,1655298.9981025942 
 01/02  13:00:00,0.0,1112339.1044141056 
 01/02  14:00:00,0.0,456387.6816966155 
 01/02  15:00:00,0.0,118125.79837661031 
 01/02  16:00:00,0.0,114708.30731690714 
 01/02  17:00:00,2981370.59352594,320561.91564106935 
 01/02  18:00:00,3063388.754599111,518665.19529801793 
 01/02  19:00:00,2865999.258652394,637161.0284207375 
 01/02  20:00:00,2615913.0379118775,782799.854417017 
 01/02  21:00:00,2402111.7804683195,901820.9476622263 
 01/02  22:00:00,2299584.6818584995,947739.2906126052 
 01/02  23:00:00,2220835.5378413415,1019499.8799268563 
 01/02  24:00:00,2212615.689019529,1010202.9939953978 
 01/03  01:00:00,2216760.1525365543,981569.6425841133 
 01/03  02:00:00,2076643.5388491317,1110569.0227130395 
 01/03  03:00:00,1972773.3588175059,1157107.853972036 
 01/03  04:00:00,1947612.6526137902,1093785.0892060634 
 01/03  05:00:00,1915814.3200428095,1095738.819815639 
 01/03  06:00:00,1869883.7673577752,1128107.3449442727 
 01/03  07:00:00,1850147.6057192488,1137049.8064735103 
 01/03  08:00:00,1826584.4053443389,1153723.2773055942 
 01/03  09:00:00,0.0,1148262.3676391933 
 01/03  10:00:00,0.0,1823195.7687228336 
 01/03  11:00:00,0.0,2090527.3613239157 
 01/03  12:00:00,0.0,1931177.993111087 
 01/03  13:00:00,0.0,1918792.8815664987 
 01/03  14:00:00,0.0,2091543.4426290127 
 01/03  15:00:00,0.0,2186668.326199904 
 01/03  16:00:00,0.0,2727783.8453442845 
 01/03  17:00:00,21621.027820141167,1603557.130499396 
 01/03  18:00:00,700627.140092092,1565616.3282561947 
 01/03  19:00:00,863763.7925766546,1571259.2299405728 
 01/03  20:00:00,798542.6220770604,1611340.61547834 
 01/03  21:00:00,771760.4394222007,1643005.1535005844 
 01/03  22:00:00,791815.0780854938,1680054.555494404 
 01/03  23:00:00,796762.3258834631,1689812.3664592 
 01/03  24:00:00,763222.6460294757,1716272.9584550427 
 01/04  01:00:00,713924.7866679275,1749706.4364765885 
 01/04  02:00:00,630058.3414656998,1805492.8479114783 
 01/04  03:00:00,524266.21962269995,1868011.4819361602 
 01/04  04:00:00,398246.01439194893,1940010.9126476615 
 01/04  05:00:00,257460.86808592154,2015982.7746702414 
 01/04  06:00:00,110703.44899433984,2094301.6855619568 
 01/04  07:00:00,4065.8958133642955,2166354.645618257 
 01/04  08:00:00,0.0,2210525.9696558784 
 01/04  09:00:00,0.0,3289248.6295042513 
 01/04  10:00:00,0.0,4194996.242207658 
 01/04  11:00:00,0.0,3586362.9371378906 
 01/04  12:00:00,0.0,2987693.685141605 
 01/04  13:00:00,0.0,2578693.8341764957 
 01/04  14:00:00,0.0,2139507.50287935 
 01/04  15:00:00,0.0,1969086.2897597472 
 01/04  16:00:00,0.0,2002989.5586403243 
 01/04  17:00:00,376008.6099004911,1292190.595200933 
 01/04  18:00:00,1457504.1090221156,1224814.7381180662 
 01/04  19:00:00,1544628.2513860236,1229215.3582855286 
 01/04  20:00:00,1478344.16783729,1256165.322932482 
 01/04  21:00:00,1337673.3164916087,1369136.888807503 
 01/04  22:00:00,1204878.667484202,1550438.8327049497 
