Time,UNZ_0:SHANGHAI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],UNZ_0:CSHANGHAI ANN CLG .4% CONDNS DB:Des Sens Cool Load [W],UNZ_0:SHANGHAI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],UNZ_0:CSHANGHAI ANN CLG .4% CONDNS DB:Des Cool Mass Flow [kg/s],UNZ_0::Des Latent Heat Load [W],UNZ_0::Des Latent Cool Load [W],UNZ_0::Des Latent Heat Mass Flow [kg/s],UNZ_0::Des Latent Cool Mass Flow [kg/s],UNZ_0::Des Heat Load No DOAS [W],UNZ_0::Des Sens Cool Load No DOAS [W],UNZ_0::Des Latent Heat Load No DOAS [W],UNZ_0::Des Latent Cool Load No DOAS [W],UNZ_0:SHANGHAI ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],UNZ_0:SHANGHAI ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],UNZ_0:CSHANGHAI ANN CLG .4% CONDNS DB:Cooling Zone Temperature [C],UNZ_0:CSHANGHAI ANN CLG .4% CONDNS DB:Cooling Zone Relative Humidity [%],UNZ_1:SHANGHAI ANN HTG 99.6% CONDNS DB:Des Heat Load [W],UNZ_1:CSHANGHAI ANN CLG .4% CONDNS DB:Des Sens Cool Load [W],UNZ_1:SHANGHAI ANN HTG 99.6% CONDNS DB:Des Heat Mass Flow [kg/s],UNZ_1:CSHANGHAI ANN CLG .4% CONDNS DB:Des Cool Mass Flow [kg/s],UNZ_1::Des Latent Heat Load [W],UNZ_1::Des Latent Cool Load [W],UNZ_1::Des Latent Heat Mass Flow [kg/s],UNZ_1::Des Latent Cool Mass Flow [kg/s],UNZ_1::Des Heat Load No DOAS [W],UNZ_1::Des Sens Cool Load No DOAS [W],UNZ_1::Des Latent Heat Load No DOAS [W],UNZ_1::Des Latent Cool Load No DOAS [W],UNZ_1:SHANGHAI ANN HTG 99.6% CONDNS DB:Heating Zone Temperature [C],UNZ_1:SHANGHAI ANN HTG 99.6% CONDNS DB:Heating Zone Relative Humidity [%],UNZ_1:CSHANGHAI ANN CLG .4% CONDNS DB:Cooling Zone Temperature [C],UNZ_1:CSHANGHAI ANN CLG .4% CONDNS DB:Cooling Zone Relative Humidity [%]
00:10:00,0.000000E+00,1.873461E+03,0.000000E+00,2.042856E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.200062E+01,4.550471E+01,2.199844E+01,4.751025E+01,3.742288E+02,2.418246E+02,1.063785E-02,2.636743E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.597250E+01,1.000000E+02,2.199897E+01,4.806296E+01
00:20:00,0.000000E+00,1.870557E+03,0.000000E+00,2.039689E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.200062E+01,4.550472E+01,2.199844E+01,4.751143E+01,3.742280E+02,2.402714E+02,1.063783E-02,2.619808E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.597250E+01,1.000000E+02,2.199897E+01,4.807105E+01
00:30:00,0.000000E+00,1.867698E+03,0.000000E+00,2.036573E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.200062E+01,4.550472E+01,2.199843E+01,4.751257E+01,3.742273E+02,2.387429E+02,1.063781E-02,2.603143E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.597250E+01,1.000000E+02,2.199896E+01,4.807905E+01
00:40:00,0.000000E+00,1.864891E+03,0.000000E+00,2.033512E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.200062E+01,4.550472E+01,2.199843E+01,4.751369E+01,3.742268E+02,2.372419E+02,1.063780E-02,2.586777E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.597250E+01,1.000000E+02,2.199896E+01,4.808694E+01
00:50:00,0.000000E+00,1.862141E+03,0.000000E+00,2.030513E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.200062E+01,4.550472E+01,2.199843E+01,4.751479E+01,3.742263E+02,2.357707E+02,1.063778E-02,2.570736E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.597250E+01,1.000000E+02,2.199896E+01,4.809474E+01
01:00:00,0.000000E+00,1.859450E+03,0.000000E+00,2.027580E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.200062E+01,4.550473E+01,2.199843E+01,4.751588E+01,3.742260E+02,2.343310E+02,1.063777E-02,2.555039E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.597250E+01,1.000000E+02,2.199896E+01,4.810246E+01
01:10:00,0.000000E+00,1.856832E+03,0.000000E+00,2.024725E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.200062E+01,4.550473E+01,2.199843E+01,4.751695E+01,3.742257E+02,2.329280E+02,1.063777E-02,2.539741E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.597250E+01,1.000000E+02,2.199896E+01,4.811015E+01
01:20:00,0.000000E+00,1.854299E+03,0.000000E+00,2.021963E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.200062E+01,4.550473E+01,2.199843E+01,4.751796E+01,3.742255E+02,2.315681E+02,1.063776E-02,2.524914E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.597250E+01,1.000000E+02,2.199895E+01,4.811767E+01
01:30:00,0.000000E+00,1.851865E+03,0.000000E+00,2.019309E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.200062E+01,4.550473E+01,2.199843E+01,4.751891E+01,3.742253E+02,2.302577E+02,1.063775E-02,2.510627E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.597250E+01,1.000000E+02,2.199895E+01,4.812489E+01
01:40:00,0.000000E+00,1.849539E+03,0.000000E+00,2.016773E-01,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,2.200062E+01,4.550473E+01,2.199843E+01,4.751979E+01,3.742252E+02,2.290020E+02,1.063775E-02,2.496936E-02,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,0.000000E+00,1.597250E+01,1.000000E+02,2.199895E+01,4.813174E+01
