date,LED_total,AC,FAU,FFU,Total
2024-01-01,14.33,1.76,1.28,5.7700000000000005,23.14
2024-01-02,13.11,1.74,1.29,5.73,21.87
2024-01-03,14.75,1.74,1.32,5.76,23.57
2024-01-04,13.76,1.78,1.3,5.8500000000000005,22.69
2024-01-05,14.09,1.81,1.29,5.78,22.970000000000002
2024-01-06,13.31,1.7,1.34,5.59,21.94
2024-01-07,14.219999999999999,5.25,1.28,5.83,26.580000000000002
2024-01-08,14.02,9.850000000000001,0.82,5.78,30.47
2024-01-09,13.86,9.06,1.24,5.48,29.64
2024-01-10,12.97,14.13,1.26,5.76,34.120000000000005
2024-01-11,14.87,18.28,0.19,5.55,38.89
2024-01-12,12.86,12.07,1.23,5.72,31.88
2024-01-13,15.2,9.49,1.24,5.74,31.669999999999998
2024-01-14,13.95,3.67,0.12,5.6000000000000005,23.34
2024-01-15,14.08,20.91,0.27,5.5600000000000005,40.82
2024-01-16,13.93,19.2,0.27,5.75,39.15
2024-01-17,13.75,12.0,0.01,5.640000000000001,31.4
2024-01-18,13.39,4.11,0.03,5.6000000000000005,23.13
2024-01-19,12.96,6.32,0.03,5.6,24.91
2024-01-20,14.9,8.73,0.0,5.67,29.3
2024-01-21,14.27,11.6,0.01,5.44,31.32
2024-01-22,13.879999999999999,25.51,0.09,5.7,45.18
2024-01-23,14.2,26.96,0.06,5.640000000000001,46.86
2024-01-24,13.68,25.19,0.11,5.69,44.67
2024-01-25,13.93,23.59,0.16,5.51,43.19
2024-01-26,14.12,19.44,0.26,5.65,39.47
2024-01-27,12.51,14.33,0.31,5.49,32.64
2024-01-28,13.92,11.370000000000001,0.55,5.8100000000000005,31.650000000000002
2024-01-29,15.0,8.0,1.26,5.73,29.99
2024-01-30,14.04,5.59,0.66,5.76,26.05
2024-01-31,12.72,3.02,0.19,5.49,21.42
2024-02-01,15.01,15.719999999999999,0.0,5.68,36.41
2024-02-02,13.879999999999999,19.03,0.0,5.7,38.61
2024-02-03,12.65,14.57,0.0,5.44,32.66
2024-02-04,15.16,13.78,0.0,5.73,34.67
2024-02-05,9.379999999999999,13.56,0.23,3.62,26.790000000000003
2024-02-06,0.0,0.14,0.08,0.15,0.37
2024-02-07,0.0,0.0,0.0,0.0,0.0
2024-02-08,0.0,0.0,0.0,0.0,0.0
2024-02-09,0.0,0.0,0.0,0.0,0.0
2024-02-10,0.0,0.0,0.0,0.0,0.0
2024-02-11,0.0,0.0,0.0,0.0,0.0
2024-02-12,0.0,0.0,0.0,0.0,0.0
2024-02-13,0.0,0.0,0.0,0.0,0.0
2024-02-14,0.0,0.0,0.0,0.0,0.0
2024-02-15,0.0,0.0,0.0,0.0,0.0
2024-02-16,0.0,0.0,0.0,0.0,0.0
2024-02-17,0.0,0.0,0.0,0.0,0.0
2024-02-18,0.0,0.0,0.0,0.0,0.0
2024-02-19,0.0,0.0,0.0,0.0,0.0
2024-02-20,0.0,0.0,0.0,0.0,0.0
2024-02-21,0.0,0.0,0.0,0.0,0.0
2024-02-22,0.0,0.0,0.0,0.0,0.0
2024-02-23,0.0,0.0,0.0,0.0,0.0
2024-02-24,0.0,0.0,0.0,0.0,0.0
2024-02-25,0.0,0.0,0.0,0.0,0.0
2024-02-26,0.0,0.0,0.0,0.0,0.0
2024-02-27,0.0,0.0,0.0,0.0,0.0
2024-02-28,0.0,0.0,0.0,0.0,0.0
2024-02-29,0.0,0.0,0.0,0.0,0.0
2024-03-01,0.0,0.0,0.0,0.0,0.0
2024-03-02,0.0,0.0,0.0,0.0,0.0
2024-03-03,0.0,0.0,0.0,0.0,0.0
2024-03-04,0.0,0.0,0.0,0.0,0.0
2024-03-05,0.0,0.0,0.0,0.0,0.0
2024-03-06,0.0,1.46,0.01,0.2,1.67
2024-03-07,0.0,0.0,0.0,0.0,0.0
2024-03-08,0.0,0.0,0.0,0.0,0.0
2024-03-09,0.0,0.0,0.0,0.0,0.0
2024-03-10,0.0,0.0,0.0,0.0,0.0
2024-03-11,0.0,0.0,0.0,0.0,0.0
2024-03-12,0.0,5.640000000000001,0.13,1.26,7.03
2024-03-13,6.5,4.17,0.19,3.41,14.270000000000001
2024-03-14,14.45,4.72,0.2,5.47,24.84
2024-03-15,13.95,4.84,0.21,5.71,24.71
2024-03-16,13.96,5.05,0.19999999999999998,5.66,24.87
2024-03-17,13.870000000000001,2.2600000000000002,0.21,5.67,22.01
2024-03-18,13.85,2.39,0.21,5.62,22.07
2024-03-19,14.09,4.33,0.21,5.7,24.330000000000002
2024-03-20,13.84,3.81,0.21,5.58,23.44
2024-03-21,13.95,4.99,0.2,5.7,24.84
2024-03-22,17.71,7.5600000000000005,0.2,5.3500000000000005,30.82
2024-03-23,18.91,6.08,0.19999999999999998,5.65,30.84
2024-03-24,19.98,5.01,0.2,5.5600000000000005,30.75
2024-03-25,19.58,4.33,0.2,5.74,29.85
2024-03-26,19.13,3.68,0.21,5.7,28.72
2024-03-27,19.17,3.3600000000000003,0.22,5.49,28.240000000000002
2024-03-28,19.48,3.5300000000000002,0.21,5.67,28.89
2024-03-29,20.05,8.43,0.21,5.39,34.08
2024-03-30,19.31,9.209999999999999,0.19999999999999998,5.82,34.54
2024-03-31,18.92,4.0600000000000005,0.19999999999999998,5.5,28.68
2024-04-01,20.03,7.51,0.21,5.47,33.22
2024-04-02,19.15,5.13,0.19,5.66,30.13
2024-04-03,19.61,4.48,0.22,5.73,30.04
2024-04-04,19.44,3.93,0.19999999999999998,5.59,29.16
2024-04-05,19.41,4.5,0.2,5.53,29.64
2024-04-06,20.05,3.97,0.2,5.84,30.06
2024-04-07,18.84,3.27,0.21,5.48,27.8
2024-04-08,19.33,2.8000000000000003,0.21,5.64,27.98
2024-04-09,19.85,5.16,0.2,5.74,30.95
2024-04-10,19.48,5.25,0.2,5.5,30.43
2024-04-11,17.55,5.76,0.2,5.5600000000000005,29.07
2024-04-12,13.430000000000001,3.48,0.19,5.68,22.78
2024-04-13,13.280000000000001,4.12,0.19999999999999998,5.67,23.27
2024-04-14,13.870000000000001,5.17,0.19,5.49,24.720000000000002
2024-04-15,13.09,7.94,0.21,5.7,26.94
2024-04-16,14.14,6.8100000000000005,0.21,5.7,26.86
2024-04-17,13.360000000000001,9.43,0.2,5.43,28.42
2024-04-18,13.530000000000001,5.75,0.19999999999999998,5.72,25.2
2024-04-19,14.03,5.35,0.19,5.69,25.26
2024-04-20,13.68,4.43,0.19,5.4,23.7
2024-04-21,13.22,3.2800000000000002,0.19,5.79,22.48
2024-04-22,13.81,5.55,0.19,5.67,25.22
2024-04-23,13.51,5.43,0.19,5.61,24.740000000000002
2024-04-24,13.66,7.64,0.21,5.48,26.99
2024-04-25,13.620000000000001,8.22,0.19999999999999998,5.71,27.75
2024-04-26,13.690000000000001,4.37,0.18,5.65,23.89
2024-04-27,13.64,4.95,0.19,5.47,24.25
2024-04-28,13.52,4.63,0.19,5.67,24.01
2024-04-29,13.64,4.8,0.19,5.640000000000001,24.27
2024-04-30,13.77,7.86,0.19,5.46,27.28
2024-05-01,13.46,6.32,0.19,5.75,25.72
2024-05-02,13.610000000000001,7.8,0.19,5.5200000000000005,27.12
2024-05-03,13.73,7.15,0.19,5.7700000000000005,26.84
2024-05-04,13.62,5.22,0.19,5.720000000000001,24.75
2024-05-05,13.430000000000001,5.87,0.18,5.68,25.16
2024-05-06,13.58,9.57,0.21,5.44,28.8
2024-05-07,13.94,9.58,0.19,5.66,29.37
2024-05-08,11.44,7.42,0.19,5.55,24.6
2024-05-09,7.71,7.75,0.2,5.8500000000000005,21.51
2024-05-10,7.84,8.16,0.2,5.47,21.67
2024-05-11,7.6499999999999995,5.71,0.19,5.66,19.21
2024-05-12,7.95,4.6000000000000005,0.18,5.82,18.55
2024-05-13,7.85,8.62,0.2,5.69,22.36
2024-05-14,7.57,8.76,0.19,5.46,21.98
2024-05-15,6.529999999999999,5.1,0.16,5.71,17.5
