season,power_range,power_kw,count,mean_cop,std_cop,min_cop,max_cop
spring,0-5%,0.00-0.08,48,3.2153840016286686,7.711095518496497,0.0,43.38801294808167
spring,5-10%,0.08-0.17,119,4.5162904327212035,3.4261218926372283,1.14694918795707,16.120051096087202
spring,10-20%,0.17-0.33,89,5.3343294657313,2.4113716827114806,0.3446493828686475,9.96874020323244
spring,20-30%,0.33-0.49,50,2.9027169167760083,1.5418149785921158,0.1592019409121415,5.216430333590932
spring,30-40%,0.49-0.66,27,2.1901625962944364,0.7477033483521321,0.1969759309229768,3.2128906512468194
spring,40-50%,0.66-0.82,13,1.8039206216361374,0.4832117004969518,0.5949042697868019,2.2747983691373306
spring,50-60%,0.82-0.99,10,1.5916769774793105,0.39998679419708194,0.5000463346601844,1.88675864827562
spring,60-70%,0.99-1.15,4,1.2498483299333862,0.5490844271164791,0.4348076989846396,1.5887919049063246
spring,70-80%,1.15-1.32,0,,,,
spring,80-90%,1.32-1.48,0,,,,
spring,90-100%,1.48-1.65,0,,,,
summer,0-5%,0.00-0.08,39,2.257536098640123,5.396850230187432,0.0,17.480150526559544
summer,5-10%,0.08-0.17,7,7.604176715798322,1.311917936212847,6.438600862124827,9.976962885154633
summer,10-20%,0.17-0.33,59,4.456217714224883,1.0500265424900097,2.893226260714751,7.371493192407418
summer,20-30%,0.33-0.49,48,2.7072237900717275,0.8181575003927883,1.845826523847596,7.67490052075321
summer,30-40%,0.49-0.66,28,2.6377804738101216,1.2331742102309446,1.3249071727551551,4.695446484513028
summer,40-50%,0.66-0.82,33,2.9594263797233804,1.3036624416470688,0.9856732752166129,4.759345841785396
summer,50-60%,0.82-0.99,43,2.8457260395653994,0.8726762540358092,0.8704135414776728,3.790877161452796
summer,60-70%,0.99-1.15,50,2.3349720512605057,0.7531442275108466,0.8838447028442756,3.358058037613365
summer,70-80%,1.15-1.32,30,2.296535417711297,0.43934403802023114,0.8084467997294171,2.73444471549022
summer,80-90%,1.32-1.48,11,1.8393402997092636,0.4347325322131535,0.9739408182926164,2.242229974476675
summer,90-100%,1.48-1.65,10,1.9198718945557487,0.15741950326735193,1.713692896609125,2.28057034577815
fall,0-5%,0.00-0.08,35,4.653611422773958,10.56374192937925,0.0,34.68401739077047
fall,5-10%,0.08-0.17,38,8.623915660367729,5.133678700507206,1.7139100420956823,24.034051358852835
fall,10-20%,0.17-0.33,84,4.637304229644528,1.860211484410199,0.6943241905270474,10.531953701824822
fall,20-30%,0.33-0.49,35,2.968993260445526,1.0758828619751681,0.6883495072630413,5.648423450489918
fall,30-40%,0.49-0.66,21,2.1072933705913224,0.963950970768797,0.5052418469239113,4.0087660331011
fall,40-50%,0.66-0.82,39,1.8453883820605712,0.6169695268917249,0.1632808452515937,2.5626835699828434
fall,50-60%,0.82-0.99,32,1.2322970284341481,0.5371398211773268,0.3050069044453303,2.087629578288801
fall,60-70%,0.99-1.15,3,0.5906779534825398,0.32655076023150575,0.2710678583964767,0.923752846489468
fall,70-80%,1.15-1.32,1,0.4829848407792768,,0.4829848407792768,0.4829848407792768
fall,80-90%,1.32-1.48,0,,,,
fall,90-100%,1.48-1.65,0,,,,
winter,0-5%,0.00-0.08,64,6.016433220734544,10.912010235481358,0.0,39.32845202088701
winter,5-10%,0.08-0.17,162,13.303670588702822,7.302025617454552,3.4851309696600765,31.176674553512274
winter,10-20%,0.17-0.33,14,8.246302510154477,4.8783913217902395,2.431219977236183,16.718452022917514
winter,20-30%,0.33-0.49,6,5.463048759503849,3.2630818203536682,1.2630729248813564,9.057041981138982
winter,30-40%,0.49-0.66,6,3.5818503441990868,1.5593698436462162,1.173347145574248,5.9472969077689335
winter,40-50%,0.66-0.82,6,2.6986235363850546,1.7891510848712648,1.1009236850787067,5.085679484955801
winter,50-60%,0.82-0.99,28,1.3387658302353282,0.5667899746988062,0.4432989804099652,2.567384641726071
winter,60-70%,0.99-1.15,43,1.3163028320756596,0.6416061931704943,0.3861196699334503,2.4571109830852853
winter,70-80%,1.15-1.32,17,1.6089092478055578,0.6366422276898073,0.6165406882766058,2.772386026177774
winter,80-90%,1.32-1.48,8,1.6955668254187528,0.4944356883362383,0.97276354657693,2.355658311900086
winter,90-100%,1.48-1.65,5,1.936595597257417,0.36080320362878804,1.378394052637769,2.250905835313666
Overall,0-5%,0.00-0.08,186,4.248980999189464,9.185401226695861,0.0,43.38801294808167
Overall,5-10%,0.08-0.17,326,9.416207871937045,7.079514184206488,1.14694918795707,31.176674553512274
Overall,10-20%,0.17-0.33,246,5.051438853746572,2.3539549310982855,0.3446493828686475,16.718452022917514
Overall,20-30%,0.33-0.49,139,2.9624147081644594,1.4278857168435166,0.1592019409121415,9.057041981138982
Overall,30-40%,0.49-0.66,82,2.423615929442018,1.1068989371674536,0.1969759309229768,5.9472969077689335
Overall,40-50%,0.66-0.82,91,2.2997134805583954,1.12654722167133,0.1632808452515937,5.085679484955801
Overall,50-60%,0.82-0.99,113,1.9044419259520995,1.006838126718553,0.3050069044453303,3.790877161452796
Overall,60-70%,0.99-1.15,100,1.8012105152245979,0.8771484812060056,0.2710678583964767,3.358058037613365
Overall,70-80%,1.15-1.32,48,2.0152188455169306,0.645954420384973,0.4829848407792768,2.772386026177774
Overall,80-90%,1.32-1.48,19,1.7788041000079962,0.4531941448217961,0.97276354657693,2.355658311900086
Overall,90-100%,1.48-1.65,15,1.9254464621229714,0.2306320788588382,1.378394052637769,2.28057034577815
