Season,Power_Range,Avg_COP,Std_COP,Count,Percentage
spring,0-5%,3.962421361055409,5.271856803291737,139,38.611111111111114
spring,5-10%,5.326568993217076,2.97546163475507,99,27.500000000000004
spring,10-20%,3.1649928826615827,1.6435791108660527,85,23.61111111111111
spring,20-30%,2.0487924130729667,0.4869052480008228,23,6.388888888888888
spring,30-40%,1.4940116496090463,0.453892067267966,14,3.888888888888889
spring,40-50%,0.0,0.0,0,0.0
spring,50-60%,0.0,0.0,0,0.0
spring,60-70%,0.0,0.0,0,0.0
spring,70-80%,0.0,0.0,0,0.0
spring,80-90%,0.0,0.0,0,0.0
spring,90-100%,0.0,0.0,0,0.0
summer,0-5%,2.606135559657328,5.487716264556754,41,11.38888888888889
summer,5-10%,4.922409094321598,1.1633017022061303,52,14.444444444444443
summer,10-20%,2.7074532560774323,0.8392267865655926,72,20.0
summer,20-30%,3.0126362908481714,1.3240597013715436,48,13.333333333333334
summer,30-40%,2.632838614695163,0.8912890238469726,76,21.11111111111111
summer,40-50%,2.286225731879461,0.5068806191341038,51,14.166666666666666
summer,50-60%,1.8913749146782801,0.2730955002721378,18,5.0
summer,60-70%,1.8136419715278762,0.034239322327869144,2,0.5555555555555556
summer,70-80%,0.0,0.0,0,0.0
summer,80-90%,0.0,0.0,0,0.0
summer,90-100%,0.0,0.0,0,0.0
fall,0-5%,6.942955941310925,8.697479862705205,67,23.26388888888889
fall,5-10%,4.693408395788728,1.8539930074885491,86,29.86111111111111
fall,10-20%,2.9286291891276797,1.0444151293186226,45,15.625
fall,20-30%,1.8455062659845891,0.7156745723741851,54,18.75
fall,30-40%,1.1773011077240103,0.5500409457232173,35,12.152777777777777
fall,40-50%,0.4829848407792768,,1,0.3472222222222222
fall,50-60%,0.0,0.0,0,0.0
fall,60-70%,0.0,0.0,0,0.0
fall,70-80%,0.0,0.0,0,0.0
fall,80-90%,0.0,0.0,0,0.0
fall,90-100%,0.0,0.0,0,0.0
winter,0-5%,11.360871666447075,9.162612923825288,220,61.111111111111114
winter,5-10%,7.996253216904351,4.1958379823140985,19,5.277777777777778
winter,10-20%,5.02993036203704,3.1915868512134145,7,1.9444444444444444
winter,20-30%,3.140236940292071,1.6652531434909212,12,3.3333333333333335
winter,30-40%,1.3858494630880631,0.5961231912984356,59,16.38888888888889
winter,40-50%,1.3733557801488534,0.668668471010835,31,8.61111111111111
winter,50-60%,1.8496624837603628,0.4104353660243628,11,3.0555555555555554
winter,60-70%,1.593820728395399,,1,0.2777777777777778
winter,70-80%,0.0,0.0,0,0.0
winter,80-90%,0.0,0.0,0,0.0
winter,90-100%,0.0,0.0,0,0.0
