,spring,summer,autumn,winter
LED1_kW_pearson,0.40207846914473283,-0.19545382801898414,0.32005625855219366,0.2004140947589981
LED1_kW_spearman,0.4581532873370272,-0.09767296646779415,0.2755059627766589,0.15721291613543553
LED2_kW_pearson,0.40696060526106215,-0.19694856169588937,0.06342196281211797,0.26816366761373645
LED2_kW_spearman,0.46764985941374687,-0.1085633163582001,0.04764110638510056,0.2312980186590202
LED3_kW_pearson,,-0.19322553260357414,0.32310734099940375,0.3273626666884632
LED3_kW_spearman,,-0.10998518165435138,0.07706023934093155,0.2127125922342039
FFU_kW_pearson,0.08306405139990233,0.09842625993606714,0.12982128644142005,-0.12704713827778114
FFU_kW_spearman,-0.02816176734703326,0.09647807993913535,0.10635440239184668,-0.06459209160662696
FAU_kW_pearson,0.15729963815198894,-0.11196183074720716,-0.01986032220056269,-0.12908053129549732
FAU_kW_spearman,0.27379176712189,-0.038998128533895386,-0.04432949571974229,-0.0825852732507433
HVAC_kW_pearson,-0.11830306317012043,-0.2841948041512876,-0.3790008187517901,-0.41524471571702737
HVAC_kW_spearman,0.1940863138167727,-0.299268139116052,-0.26572433721181155,-0.07132344977707145
Heating_Load_kW_pearson,-0.28959409390597873,,0.22998202545715118,-0.1050427086924049
Heating_Load_kW_spearman,-0.5085698199749081,,-0.05621850132794949,-0.009458940866871112
Cooling_Load_kW_pearson,0.4304197318331854,-0.18258402979440275,-0.16686231454758058,0.1995827494893837
Cooling_Load_kW_spearman,0.5499394416097529,-0.1364640646743657,0.0023190198609601602,0.1257761203577188
net_heating_load_pearson,-0.1300590941750922,,-0.07590587033775129,0.07882159765358679
net_heating_load_spearman,-0.277681850472922,,-0.12274463986536684,0.060373043998805116
net_cooling_load_pearson,0.48543533196377076,-0.20059903469857007,0.16377209715177699,0.33046970835572786
net_cooling_load_spearman,0.6131874034909164,-0.10506362071386768,0.34444641026293915,0.21404325533038815
total_thermal_load_pearson,0.48474742797809084,-0.20059903469857007,0.16310611897501318,0.43595778513107303
total_thermal_load_spearman,0.6122177007415968,-0.10506362071386768,0.34446483377557857,0.48565995185197913
excess_load_pearson,0.7903064226446528,0.7757284330455247,0.8058369236768386,0.890952332438204
excess_load_spearman,0.4645396693291319,0.32333776486509874,0.4408584105301947,0.7145607955366222
Outdoor_Temp_C_pearson,0.15669262359148498,-0.42093398224482936,-0.21292934798985472,0.25249735531608286
Outdoor_Temp_C_spearman,0.2743412831801588,-0.5364283294316549,-0.17317747649863052,0.17880974315525713
Outdoor_RH_pearson,-0.19256375798839775,0.3408835312377372,0.06964013265584358,-0.191177695183886
Outdoor_RH_spearman,-0.31439119471737004,0.44141192876369667,0.1226235011815909,-0.07973097955650972
Outdoor_Flow_Rate_pearson,0.16960749871709424,-0.15435969789929854,0.024460308888869922,-0.005609983711252665
Outdoor_Flow_Rate_spearman,0.11697205523030017,-0.20379101770628277,0.029148206914304857,0.005934234073607232
