Date,Hour,LED_Light_1,LED_Light_2,LED_Light_3,Air_Conditioner,Fresh_Air_Unit,Circulation_Fan
2024-01-01,0,0,0,0,0.08,0.0,0.26
2024-01-01,1,0,0,0,0.08,0.0,0.27
2024-01-01,2,0,0,0,0.08,0.0,0.26
2024-01-01,3,0,0,0,0.08,0.0,0.26
2024-01-01,4,0,0,0,0.09,0.0,0.27
2024-01-01,5,0,0,0,0.08,0.0,0.26
2024-01-01,6,0,0,0,0.08,0.0,0.26
2024-01-01,7,0,0,0,0.08,0.0,0.27
2024-01-01,8,0.1,0.5,0.08,0.08,0.1,0.26
2024-01-01,9,0.59,0.44,0.44,0.08,0.15,0.26
2024-01-01,10,0.64,0.48,0.48,0,0,0
2024-01-01,11,0.59,0.45,0.45,0.08,0.16,0.27
2024-01-01,12,0.61,0.46,0.46,0.08,0.15,0.26
2024-01-01,13,0.61,0.46,0.46,0.08,0.16,0.26
2024-01-01,14,0.6,0.46,0.46,0.07,0.15,0.26
2024-01-01,15,0.59,0.44,0.44,0.08,0.15,0.26
2024-01-01,16,0.61,0.45,0.45,0.08,0.15,0.26
2024-01-01,17,0.61,0.46,0.46,0.07,0.09,0.25
2024-01-01,18,0,0,0,0.08,0.02,0.25
2024-01-01,19,0,0,0,0.08,0.0,0.26
2024-01-01,20,0,0,0,0.08,0.0,0.27
2024-01-01,21,0,0,0,0.08,0.0,0.26
2024-01-01,22,0,0,0,0,0,0
2024-01-01,23,0,0,0,0.09,0.0,0.28
2024-01-02,0,0,0,0,0.08,0.0,0.28
2024-01-02,1,0,0,0,0.1,0.0,0.31
2024-01-02,2,0,0,0,0.09,0.0,0.32
2024-01-02,3,0,0,0,0.09,0.0,0.27
2024-01-02,4,0,0,0,0,0,0
2024-01-02,5,0,0,0,0.08,0.0,0.28
2024-01-02,6,0,0,0,0.09,0.0,0.28
2024-01-02,7,0,0,0,0.1,0.0,0.31
2024-01-02,8,0.11,0.08,0.09,0.08,0.07,0.26
2024-01-02,9,0.61,0.46,0.46,0.07,0.14,0.25
2024-01-02,10,0.58,0.46,0.44,0.08,0.16,0.26
2024-01-02,11,0.77,0.56,0.58,0.08,0.16,0.28
2024-01-02,12,0.61,0.47,0.46,0,0,0
2024-01-02,13,0.62,0.44,0.47,0.08,0.17,0.27
2024-01-02,14,0.58,0.44,0.44,0.08,0.15,0.25
2024-01-02,15,0,0,0,0.07,0.15,0.26
2024-01-02,16,0.74,0.52,0.56,0.08,0.15,0.25
2024-01-02,17,0.62,0.49,0.45,0.08,0.11,0.25
2024-01-02,18,0,0,0,0.08,0.03,0.28
2024-01-02,19,0,0,0,0.08,0.0,0.26
2024-01-02,20,0,0,0,0.08,0.0,0.26
2024-01-02,21,0,0,0,0.08,0.0,0.27
2024-01-02,22,0,0,0,0,0,0
2024-01-02,23,0,0,0,0.09,0.0,0.28
