Date/Time,DistrictCooling:HVAC [J](Hourly),DistrictHeating:HVAC [J](Hourly),Electricity:Facility [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly) 
 01/01  01:00:00,0.0,1396601.3002743616,1332530.907142857,0.0,1332000.0 
 01/01  02:00:00,0.0,1877770.6744646018,1332530.907142857,0.0,1332000.0 
 01/01  03:00:00,0.0,1830282.4053565296,1332530.907142857,0.0,1332000.0 
 01/01  04:00:00,0.0,2103854.5397761096,1332530.907142857,0.0,1332000.0 
 01/01  05:00:00,0.0,2358564.207870383,1332530.907142857,0.0,1332000.0 
 01/01  06:00:00,0.0,2464927.506212474,1332530.907142857,0.0,1332000.0 
 01/01  07:00:00,0.0,2650624.0769114573,1332530.907142857,0.0,1332000.0 
 01/01  08:00:00,0.0,2741732.6319958083,1332530.907142857,0.0,1332000.0 
 01/01  09:00:00,0.0,2427605.050620659,1332530.907142857,0.0,1332000.0 
 01/01  10:00:00,0.0,1429175.3675326963,1332530.907142857,0.0,1332000.0 
 01/01  11:00:00,0.0,886631.5551869132,1332530.907142857,0.0,1332000.0 
 01/01  12:00:00,0.0,614778.0408709078,1332530.907142857,0.0,1332000.0 
 01/01  13:00:00,0.0,454941.3770079863,1332530.907142857,0.0,1332000.0 
 01/01  14:00:00,0.0,373558.2730381359,1332530.907142857,0.0,1332000.0 
 01/01  15:00:00,0.0,367471.431745461,1332530.907142857,0.0,1332000.0 
 01/01  16:00:00,0.0,412367.83371083345,1332530.907142857,0.0,1332000.0 
 01/01  17:00:00,0.0,518270.61663490563,1332530.907142857,0.0,1332000.0 
 01/01  18:00:00,0.0,667607.9660801954,1332530.907142857,0.0,1332000.0 
 01/01  19:00:00,0.0,771504.8527151244,1332530.907142857,0.0,1332000.0 
 01/01  20:00:00,0.0,842317.3894260522,1332530.907142857,0.0,1332000.0 
 01/01  21:00:00,0.0,942765.7978451573,1332530.907142857,0.0,1332000.0 
 01/01  22:00:00,0.0,1095816.1461257357,1332530.907142857,0.0,1332000.0 
 01/01  23:00:00,0.0,1184386.214853996,1332530.907142857,0.0,1332000.0 
 01/01  24:00:00,0.0,1195360.3825604834,1332530.907142857,0.0,1332000.0 
 01/02  01:00:00,0.0,1199718.9163721006,1332530.907142857,0.0,1332000.0 
 01/02  02:00:00,0.0,1441421.2165229123,1332530.907142857,0.0,1332000.0 
 01/02  03:00:00,0.0,1693478.036406486,1332530.907142857,0.0,1332000.0 
 01/02  04:00:00,0.0,1841062.8138508843,1332530.907142857,0.0,1332000.0 
 01/02  05:00:00,0.0,2021392.4879526107,1332530.907142857,0.0,1332000.0 
 01/02  06:00:00,0.0,2195989.6560849934,1332530.907142857,0.0,1332000.0 
 01/02  07:00:00,0.0,2417218.461425143,1332530.907142857,0.0,1332000.0 
 01/02  08:00:00,0.0,2623048.7134216162,1332530.907142857,0.0,1332000.0 
 01/02  09:00:00,0.0,2515312.063104531,1332530.907142857,0.0,1332000.0 
 01/02  10:00:00,0.0,1960116.5667560638,1332530.907142857,0.0,1332000.0 
 01/02  11:00:00,0.0,1169835.7775901912,1332530.907142857,0.0,1332000.0 
 01/02  12:00:00,0.0,728661.9065906041,1332530.907142857,0.0,1332000.0 
 01/02  13:00:00,0.0,473024.0786727044,1332530.907142857,0.0,1332000.0 
 01/02  14:00:00,0.0,330756.1165692537,1332530.907142857,0.0,1332000.0 
 01/02  15:00:00,0.0,275769.51816577226,1332530.907142857,0.0,1332000.0 
 01/02  16:00:00,0.0,291635.1908979545,1332530.907142857,0.0,1332000.0 
 01/02  17:00:00,0.0,354700.649307344,1332530.907142857,0.0,1332000.0 
 01/02  18:00:00,0.0,576345.2197208742,1332530.907142857,0.0,1332000.0 
 01/02  19:00:00,0.0,785436.8112156233,1332530.907142857,0.0,1332000.0 
 01/02  20:00:00,0.0,944022.9330635981,1332530.907142857,0.0,1332000.0 
 01/02  21:00:00,0.0,1043430.4734034375,1332530.907142857,0.0,1332000.0 
 01/02  22:00:00,0.0,1376147.9602211567,1332530.907142857,0.0,1332000.0 
 01/02  23:00:00,0.0,1785374.8098602304,1332530.907142857,0.0,1332000.0 
 01/02  24:00:00,0.0,2058720.5584251266,1332530.907142857,0.0,1332000.0 
 01/03  01:00:00,0.0,2170607.230255074,1332530.907142857,0.0,1332000.0 
 01/03  02:00:00,0.0,2244450.210229381,1332530.907142857,0.0,1332000.0 
 01/03  03:00:00,0.0,2246226.2057935754,1332530.907142857,0.0,1332000.0 
 01/03  04:00:00,0.0,2224686.579915867,1332530.907142857,0.0,1332000.0 
 01/03  05:00:00,0.0,2309190.9678413277,1332530.907142857,0.0,1332000.0 
