City,Payback_Range,Actual_Payback,LCOE,PV_Area,Battery_Capacity,City_Order
Shanghai,0-3,2.9622673984914325,0.0421424943357208,130.0,20.0,0
Shanghai,3-5,3.977025098477809,0.0398290789129583,140.0,40.0,0
Harbin,0-3,2.9611668487305454,0.0396020004553406,140.0,20.0,1
Harbin,3-5,3.526057853025936,0.0384739535656681,150.0,30.0,1
Lasa,0-3,2.9750692312285083,0.0341724246296615,90.0,30.0,2
Lasa,3-5,3.3076086944496,0.0328188416801479,70.0,40.0,2
Urumqi,0-3,2.9565847019150864,0.0378823678177957,110.0,25.0,3
Urumqi,3-5,3.3929469373770447,0.0369745060649699,140.0,30.0,3
Haikou,0-3,2.969411985356247,0.0367422774013554,90.0,30.0,4
Haikou,3-5,3.6264458451595214,0.034808020079901,90.0,45.0,4
