City,Target_LCOE,Actual_LCOE,PV_Area,Battery_Capacity,Payback_Period,TLPS,City_Order
Shanghai,0.04,0.0449620780515336,90.0,5.0,1.6260680922799973,62.84246575342466,0
Shanghai,0.06,0.05995379169327,20.0,0.0,0.4019569863982365,85.65068493150685,0
Harbin,0.04,0.044989024758822,90.0,0.0,1.199169120468934,64.42922374429224,1
Harbin,0.06,0.0618457279084557,20.0,0.0,0.4281768262678923,87.62557077625571,1
Lasa,0.04,0.0439540886085259,30.0,0.0,0.4243036778463677,67.56849315068493,2
Lasa,0.06,0.0634878411981876,10.0,0.0,0.2305100448857768,97.68264840182648,2
Urumqi,0.04,0.0443168933032624,70.0,0.0,0.9413535126576072,66.10730593607306,3
Urumqi,0.06,0.0585393716417136,20.0,0.0,0.3905264906073819,84.6917808219178,3
Haikou,0.04,0.0449435006747866,40.0,0.0,0.5452794288764761,68.47031963470319,4
Haikou,0.06,0.0561663359376928,20.0,0.0,0.3554781613916052,74.55479452054794,4
