City,Scenario,Start_Hour,LCOE,PBP,Color,City_Order
Shanghai,LCOE (PBP 0-3y),3,0.0457241291089534,2.974178170694943,#0047AB,0
Shanghai,LCOE (PBP 3-5y),3,0.0426241344265345,4.684203894427068,#8B0000,0
Shanghai,PBP (LCOE ~0.06),3,0.0530075656449905,0.6880700654491315,#00796B,0
Harbin,LCOE (PBP 0-3y),4,0.0445587231641412,2.9681080298026883,#0047AB,1
Harbin,LCOE (PBP 3-5y),3,0.0418768462117057,4.138308639021339,#8B0000,1
Harbin,PBP (LCOE ~0.06),3,0.0537943985711722,0.714137457903451,#00796B,1
Lasa,LCOE (PBP 0-3y),3,0.0391795765064294,2.9402591283799806,#0047AB,2
Lasa,LCOE (PBP 3-5y),3,0.0355580875754056,4.002503050722305,#8B0000,2
Lasa,PBP (LCOE ~0.04),3,0.0399488265693542,2.471942177701878,#006400,2
Lasa,PBP (LCOE ~0.06),3,0.0498545198135835,0.3436022008103729,#00796B,2
Urumqi,LCOE (PBP 0-3y),3,0.0424913353492561,2.8763126267647783,#0047AB,3
Urumqi,LCOE (PBP 3-5y),3,0.040091153398113,4.04248284824167,#8B0000,3
Urumqi,PBP (LCOE ~0.06),2,0.0589861697132584,0.417202465415291,#00796B,3
Haikou,LCOE (PBP 0-3y),5,0.0411653938959701,2.990164733042267,#0047AB,4
Haikou,LCOE (PBP 3-5y),5,0.037400302691222,4.087476709663024,#8B0000,4
Haikou,PBP (LCOE ~0.04),4,0.0398683997706108,3.489204400236248,#006400,4
Haikou,PBP (LCOE ~0.06),2,0.0545501060411249,0.3514618584632818,#00796B,4
