,thermal conductivity,thickness,annual_energy_kWh,normalized_energy
0,0.1,0.03,2709.864605804877,1.0
1,0.1,0.04,2615.4304129293578,0.9651516933085036
2,0.1,0.05,2548.271194706854,0.9403684557701263
3,0.1,0.06,2500.9856231161752,0.9229190335778192
4,0.1,0.07,2464.3160400004494,0.9093871460299414
5,0.1,0.08,2436.8016384377056,0.8992337230493967
6,0.1,0.09,2414.312575540708,0.8909347612308531
7,0.1,0.1,2394.0168811475837,0.8834452009223239
8,0.1,0.11,2381.1981081234235,0.8787147900388057
9,0.1,0.12,2369.284689631375,0.8743184750101771
10,0.1,0.13,2359.1652642248573,0.8705841831253204
11,0.1,0.14,2355.4234473772713,0.8692033699143686
12,0.1,0.15,2336.8585351791103,0.8623525065323411
13,0.1,0.16,2346.460408275646,0.8658958101630713
14,0.1,0.17,2343.52859080729,0.8648139046456977
15,0.1,0.18,2333.433551914481,0.8610886119239933
16,0.1,0.19,2329.054695839911,0.8594727171426858
17,0.1,0.2,2333.5204464759295,0.8611206779398608
18,0.2,0.03,2913.755237302313,1.0
19,0.2,0.04,2818.01405288743,0.9671416517114441
20,0.2,0.05,2741.446455461709,0.9408636732301044
21,0.2,0.06,2680.5489334475615,0.9199636603414003
22,0.2,0.07,2631.635748788818,0.9031766687531743
23,0.2,0.08,2593.4405115725576,0.8900680737939
24,0.2,0.09,2560.446745354151,0.8787446222575404
25,0.2,0.1,2532.6264988303437,0.8691967212644685
26,0.2,0.11,2509.5275035944032,0.8612691524212712
27,0.2,0.12,2489.3508813734666,0.8543445411970226
28,0.2,0.13,2469.3838581846094,0.8474918643032203
29,0.2,0.14,2453.9651507488893,0.8422001681311028
30,0.2,0.15,2442.8238645078673,0.8383764817423527
31,0.2,0.16,2431.1036857693457,0.8343541196068932
32,0.2,0.17,2422.114045617755,0.8312688775671694
33,0.2,0.18,2407.7762717463706,0.8263481574984999
34,0.2,0.19,2400.761888399749,0.8239408230536492
35,0.2,0.2,2383.097705941632,0.817878480468391
36,0.30000000000000004,0.03,3019.0270547254486,1.0
37,0.30000000000000004,0.04,2932.3108090354613,0.9712767576712314
38,0.30000000000000004,0.05,2858.8308054254076,0.9469377894281211
39,0.30000000000000004,0.06,2797.073817379086,0.9264818654079444
40,0.30000000000000004,0.07,2745.5686824906447,0.9094216887500955
41,0.30000000000000004,0.08,2702.668500756424,0.8952117525830537
42,0.30000000000000004,0.09,2667.016636306527,0.8834026949616277
43,0.30000000000000004,0.1,2635.5969429612646,0.8729954701253735
44,0.30000000000000004,0.11,2608.112483456395,0.8638917227900025
45,0.30000000000000004,0.12,2584.0378516678443,0.8559174213504481
46,0.30000000000000004,0.13,2563.3273818098637,0.8490574398125007
47,0.30000000000000004,0.14,2544.5543429869995,0.8428391984776042
48,0.30000000000000004,0.15,2528.6406726245345,0.8375680730209587
49,0.30000000000000004,0.16,2510.1675262487574,0.831449165823071
50,0.30000000000000004,0.17,2496.387237475593,0.8268846857692752
51,0.30000000000000004,0.18,2485.0932731120383,0.8231437572652139
52,0.30000000000000004,0.19,2473.4722049094635,0.819294481325674
53,0.30000000000000004,0.2,2467.964656425717,0.817470202051619
54,0.4,0.03,3083.1552407895356,1.0
55,0.4,0.04,3005.2415752695583,0.9747292434421742
56,0.4,0.05,2936.9559378811023,0.9525812709738889
57,0.4,0.06,2877.630111382933,0.933339350971516
58,0.4,0.07,2826.603338039734,0.9167891712503896
59,0.4,0.08,2782.891915486243,0.9026116747769077
60,0.4,0.09,2745.378510249562,0.8904444621953336
61,0.4,0.1,2712.079770180356,0.879644247003873
62,0.4,0.11,2684.597637417533,0.8707306080150736
63,0.4,0.12,2659.1059984647345,0.8624625718761374
64,0.4,0.13,2636.0054473860273,0.8549700684909392
65,0.4,0.14,2615.3336425557754,0.8482653120917907
66,0.4,0.15,2597.1765087781528,0.8423761717924612
67,0.4,0.16,2580.8638349375824,0.8370852692700202
68,0.4,0.17,2564.9338037941757,0.831918474250212
69,0.4,0.18,2548.3342607232967,0.8265345276842817
70,0.4,0.19,2535.273922903001,0.822298497773264
71,0.4,0.2,2523.1833231967544,0.8183769956879033
72,0.5,0.03,3126.3218619669565,1.0
73,0.5,0.04,3055.7622809820705,0.9774304808972891
