time,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,cloud_cover,shortwave_radiation,direct_radiation,diffuse_radiation,wind_speed_10m,wind_direction_10m,rain
2024-01-01 05:00:00,1.696,75.597855,-2.154,1012.2673,100.0,0.0,0.0,0.0,8.854829,243.43501,0.0
2024-01-01 06:00:00,2.6959999,74.12309,-1.454,1012.2818,100.0,0.0,0.0,0.0,11.384198,235.30478,0.0
2024-01-01 07:00:00,2.796,74.41359,-1.304,1012.38275,100.0,0.0,0.0,0.0,9.693296,238.67136,0.0
2024-01-01 08:00:00,2.646,75.76256,-1.204,1012.1813,65.0,0.0,0.0,0.0,8.089993,249.14546,0.0
2024-01-01 09:00:00,0.59599996,88.37847,-1.104,1011.9523,91.0,0.0,0.0,0.0,7.5170207,253.30067,0.0
2024-01-01 10:00:00,0.096,90.96399,-1.204,1011.74585,100.0,0.0,0.0,0.0,8.557102,255.37909,0.0
2024-01-01 11:00:00,1.3460001,87.80444,-0.454,1011.96344,100.0,0.0,0.0,0.0,3.671294,281.3099,0.0
2024-01-01 12:00:00,1.796,85.641716,-0.354,1012.169,100.0,0.0,0.0,0.0,5.00128,329.74365,0.0
2024-01-01 13:00:00,3.146,80.68257,0.146,1012.7862,100.0,4.0,0.0,4.0,4.6938257,302.47116,0.0
2024-01-01 14:00:00,3.7459998,77.340614,0.146,1013.19354,100.0,35.0,0.0,35.0,5.0142193,338.9624,0.0
2024-01-01 15:00:00,4.5959997,72.34123,0.046000004,1013.5044,57.0,90.0,4.0,86.0,6.849467,356.98727,0.0
2024-01-01 16:00:00,5.446,68.92991,0.19600001,1013.1181,27.0,154.0,14.0,140.0,6.519877,6.3401003,0.0
2024-01-01 17:00:00,6.5959997,63.898495,0.24599999,1012.4373,25.0,335.0,187.0,148.0,6.162207,6.70975,0.0
2024-01-01 18:00:00,7.546,59.012928,0.046000004,1012.1518,98.0,380.0,268.0,112.0,8.209263,344.7448,0.0
2024-01-01 19:00:00,7.396,58.548397,-0.204,1012.24915,100.0,189.0,44.0,145.0,8.557102,337.75092,0.0
2024-01-01 20:00:00,7.246,57.66461,-0.554,1012.4466,100.0,91.0,0.0,91.0,8.891344,338.6293,0.0
2024-01-01 21:00:00,6.896,59.06334,-0.554,1012.6406,100.0,37.0,0.0,37.0,7.968939,341.56494,0.0
2024-01-01 22:00:00,4.746,72.10829,0.146,1012.8094,4.0,9.0,3.0,6.0,6.830519,341.56494,0.0
2024-01-01 23:00:00,3.2459998,79.248314,-0.0040000007,1013.08655,91.0,0.0,0.0,0.0,7.072878,345.25638,0.0
2024-01-02 00:00:00,1.896,86.90553,-0.054,1013.4654,32.0,0.0,0.0,0.0,7.072878,345.25638,0.0
