time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),snowfall (cm),snow_depth (m),weather_code (wmo code),pressure_msl (hPa),surface_pressure (hPa),cloud_cover (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_moisture_0_to_7cm (m³/m³),shortwave_radiation (W/m²),direct_radiation (W/m²),diffuse_radiation (W/m²),direct_normal_irradiance (W/m²),global_tilted_irradiance (W/m²),terrestrial_radiation (W/m²)
2024-01-01T00:00,4.5,72,-0.1,0.7,0,0,0,0,3,1030.5,1030.2,100,0.02,0.23,11,19.4,6.6,0.279,0,0,0,0,0,0
2024-01-01T01:00,4.3,74,0.1,0.7,0,0,0,0,3,1030,1029.7,99,0.01,0.21,10.1,19.1,6.4,0.279,0,0,0,0,0,0
2024-01-01T02:00,4.1,75,0.1,0.8,0,0,0,0,3,1029.8,1029.5,100,0.01,0.2,8.6,17.3,6.3,0.279,0,0,0,0,0,0
2024-01-01T03:00,3.7,78,0.2,0.5,0,0,0,0,3,1029.3,1029,100,0,0.18,7.3,14.8,6.1,0.279,0,0,0,0,0,0
2024-01-01T04:00,3.7,77,0.1,0.5,0,0,0,0,2,1029,1028.7,67,0,0.18,7.4,12.6,5.9,0.279,0,0,0,0,0,0
2024-01-01T05:00,3.4,78,0,0.4,0,0,0,0,3,1029.3,1029,89,0,0.17,5.7,12.2,5.7,0.279,0,0,0,0,0,0
2024-01-01T06:00,3,80,-0.1,-0.3,0,0,0,0,3,1029.8,1029.5,96,0,0.15,7.9,13,5.4,0.279,0,0,0,0,0,0
2024-01-01T07:00,2.7,81,-0.2,-1,0,0,0,0,3,1030.2,1029.9,100,0.01,0.14,10.5,17.3,5.3,0.279,0,0,0,0,0,0
2024-01-01T08:00,2.9,80,-0.2,-0.7,0,0,0,0,2,1030.6,1030.3,59,0.02,0.15,10.2,18.7,5.3,0.279,49,14,35,103.4,49,147.5
2024-01-01T09:00,4.3,74,0.1,1.1,0,0,0,0,3,1031.5,1031.2,100,0.07,0.22,7.7,18,6.1,0.276,169,57,112,203.9,169,395.3
2024-01-01T10:00,6,61,-0.8,2.8,0,0,0,0,3,1031.2,1030.9,99,0.13,0.36,6.8,18.4,7.2,0.276,321,151,170,358.1,321,596.5
2024-01-01T11:00,7,56,-1.3,3.8,0,0,0,0,3,1030.3,1030,89,0.18,0.45,5.9,19.1,8.3,0.275,418,200,218,383.7,418,737.2
2024-01-01T12:00,7.4,54,-1.2,4.4,0,0,0,0,3,1029.5,1029.2,100,0.18,0.47,4.6,18,9.2,0.275,410,158,252,276.6,410,808
2024-01-01T13:00,7.6,54,-1,4.8,0,0,0,0,3,1028.5,1028.2,91,0.17,0.48,3.4,15.8,9.8,0.274,373,129,244,226.9,373,804
2024-01-01T14:00,7.8,54,-0.9,5.3,0,0,0,0,3,1027.9,1027.7,97,0.15,0.48,1,14,10.2,0.274,330,116,214,226.1,330,725.6
2024-01-01T15:00,7.6,55,-0.9,4.9,0,0,0,0,3,1027.6,1027.3,99,0.11,0.47,2.5,10.4,10.2,0.273,233,58,175,142,233,577.9
2024-01-01T16:00,7.1,56,-1.1,4.1,0,0,0,0,3,1027.6,1027.3,100,0.07,0.44,4.6,11.5,9.7,0.273,127,27,100,102.9,127,371.2
2024-01-01T17:00,5.8,66,-0.1,3.1,0,0,0,0,3,1027.5,1027.2,93,0.02,0.32,3.9,11.5,8.8,0.273,33,9,24,71.5,33,119.4
2024-01-01T18:00,4.8,76,0.9,2.4,0,0,0,0,2,1027.6,1027.3,59,0,0.21,2.9,6.8,7.9,0.273,0,0,0,0,0,0
2024-01-01T19:00,2.9,84,0.5,-0.2,0,0,0,0,0,1027.5,1027.2,7,0,0.12,7.2,9.7,6.9,0.273,0,0,0,0,0,0
