City,Time_Period,Average_Radiation
Shanghai,0-4,0.0
Shanghai,4-8,17.653424657534245
Shanghai,8-12,353.1054794520548
Shanghai,12-16,495.32260273972605
Shanghai,16-20,122.22534246575343
Shanghai,20-24,0.0
Harbin,0-4,0.0
Harbin,4-8,36.16027397260274
Harbin,8-12,369.3109589041096
Harbin,12-16,451.89246575342463
Harbin,16-20,94.3486301369863
Harbin,20-24,0.07191780821917808
Lasa,0-4,0.0
Lasa,4-8,24.84178082191781
Lasa,8-12,520.8726027397261
Lasa,12-16,738.0698630136986
Lasa,16-20,187.01438356164383
Lasa,20-24,0.0
Urumqi,0-4,0.0
Urumqi,4-8,58.43904109589041
Urumqi,8-12,452.3102739726027
Urumqi,12-16,466.44109589041096
Urumqi,16-20,76.22465753424657
Urumqi,20-24,0.0
Haikou,0-4,0.0
Haikou,4-8,29.766438356164382
Haikou,8-12,467.24657534246575
Haikou,12-16,566.6780821917808
Haikou,16-20,115.41849315068494
Haikou,20-24,0.0
