City,Target_LCOE,Actual_LCOE,Payback_Period,City_Order
Lasa,0.04,0.0444546322714161,0.7407127560350644,0
Lasa,0.06,0.0558633885969546,0.740681562948992,0
Haikou,0.04,0.04213055210351,2.952571023249377,1
Haikou,0.06,0.0571971994275295,0.7127483563698822,1
Urumqi,0.04,0.0409865062187804,3.426723474106182,2
Urumqi,0.06,0.0588850139771756,0.7996633454154443,2
Shanghai,0.04,0.0444130675281282,3.539983835347985,3
Shanghai,0.06,0.0610944850531923,0.8169046213375668,3
Harbin,0.04,0.0431437424525767,3.530785309576067,4
Harbin,0.06,0.0606397121601902,0.8437973869918296,4
