time,temperature_2m,relative_humidity_2m,dew_point_2m,surface_pressure,cloud_cover,shortwave_radiation,direct_radiation,diffuse_radiation,wind_speed_10m,wind_direction_10m,rain
2024-01-01 03:00:00,17.904501,84.22913,15.2045,931.30164,100.0,0.0,0.0,0.0,11.090103,103.13403,0.0
2024-01-01 04:00:00,18.0545,82.638,15.054501,930.7944,100.0,0.0,0.0,0.0,12.224107,103.627014,0.0
2024-01-01 05:00:00,18.1045,80.542984,14.7045,930.25903,99.0,0.0,0.0,0.0,10.464798,93.945114,0.0
2024-01-01 06:00:00,17.5545,83.38018,14.7045,929.55597,95.0,0.0,0.0,0.0,9.3876505,85.60138,0.0
2024-01-01 07:00:00,17.0545,86.892914,14.8545,929.4156,100.0,0.0,0.0,0.0,8.089993,110.854546,0.0
2024-01-01 08:00:00,17.3045,85.805336,14.9045,929.6688,100.0,0.0,0.0,0.0,9.565437,109.798965,0.0
2024-01-01 09:00:00,17.4545,85.82056,15.054501,929.61926,100.0,14.0,1.0,13.0,12.7279215,98.13002,0.0
2024-01-01 10:00:00,19.3545,76.18673,15.054501,930.6066,100.0,148.0,60.0,88.0,15.226764,96.78888,0.0
2024-01-01 11:00:00,21.2045,68.61663,15.2045,931.2994,100.0,373.0,244.0,129.0,14.618837,99.926186,0.0
2024-01-01 12:00:00,23.6045,58.167973,14.9045,931.76776,92.0,572.0,361.0,211.0,16.215992,92.544754,0.0
2024-01-01 13:00:00,23.7545,61.266903,15.8545,932.1751,100.0,441.0,81.0,360.0,13.32,108.92474,0.0
2024-01-01 14:00:00,24.2545,60.79721,16.2045,932.2178,53.0,566.0,207.0,359.0,10.594036,99.78234,0.1
2024-01-01 15:00:00,25.4545,55.521835,15.9045,931.8965,44.0,819.0,579.0,240.0,11.720751,132.5104,0.1
2024-01-01 16:00:00,26.5545,53.197407,16.2545,931.0868,39.0,947.0,719.0,228.0,14.186923,144.29323,0.1
2024-01-01 17:00:00,25.904501,56.88499,16.7045,930.08887,75.0,814.0,496.0,318.0,17.709658,153.43501,0.2
2024-01-01 18:00:00,25.2545,59.49939,16.8045,929.5492,29.0,495.0,212.0,283.0,19.826164,150.64235,0.0
2024-01-01 19:00:00,24.2045,66.429474,17.5545,928.81055,23.0,521.0,286.0,235.0,24.627789,142.12495,0.0
2024-01-01 20:00:00,23.3545,67.52638,17.0045,928.5825,18.0,464.0,362.0,102.0,23.233252,139.39879,0.0
2024-01-01 21:00:00,21.8045,74.18969,17.0045,928.16327,19.0,243.0,175.0,68.0,22.159746,136.97493,0.0
2024-01-01 22:00:00,20.3545,81.613594,17.1045,928.5005,15.0,49.0,29.0,20.0,18.864824,138.09415,0.0
2024-01-01 23:00:00,19.7045,85.23337,17.154501,929.0544,22.0,0.0,0.0,0.0,14.529915,131.98714,0.0
2024-01-02 00:00:00,19.404501,86.28876,17.0545,929.9791,21.0,0.0,0.0,0.0,12.261157,130.23628,0.0
2024-01-02 01:00:00,19.7045,85.503365,17.2045,930.8865,100.0,0.0,0.0,0.0,11.792404,121.26367,0.0
2024-01-02 02:00:00,19.4545,86.84135,17.2045,931.0007,4.0,0.0,0.0,0.0,9.565437,109.798965,0.0
2024-01-02 03:00:00,18.404501,93.60679,17.3545,930.0679,3.0,0.0,0.0,0.0,7.172949,107.52566,0.0
2024-01-02 04:00:00,17.904501,95.68058,17.2045,929.1043,100.0,0.0,0.0,0.0,7.2359104,84.2895,0.0
2024-01-02 05:00:00,17.6045,95.97454,16.9545,928.5628,100.0,0.0,0.0,0.0,8.759178,80.53775,0.0
2024-01-02 06:00:00,17.4545,96.58056,16.904501,928.24615,100.0,0.0,0.0,0.0,9.0645685,83.15732,0.0
2024-01-02 07:00:00,17.3545,97.192406,16.904501,928.2181,100.0,0.0,0.0,0.0,9.47012,81.25392,0.0
2024-01-02 08:00:00,17.3545,97.192406,16.904501,928.2181,100.0,0.0,0.0,0.0,12.313893,74.74483,0.0
2024-01-02 09:00:00,17.8545,92.98862,16.7045,928.358,100.0,13.0,1.0,12.0,15.646544,66.97448,0.0
2024-01-02 10:00:00,19.154501,84.63619,16.5045,928.90265,99.0,129.0,36.0,93.0,16.45007,66.80139,0.0
2024-01-02 11:00:00,20.654501,77.8638,16.654501,929.7739,99.0,276.0,77.0,199.0,11.874544,75.96373,0.0
2024-01-02 12:00:00,22.8545,68.94082,16.8545,930.0982,6.0,525.0,269.0,256.0,9.826088,81.57312,0.0
2024-01-02 13:00:00,25.404501,59.91278,17.0545,929.8645,50.0,824.0,690.0,134.0,5.4833565,23.198618,0.2
2024-01-02 14:00:00,26.8045,53.09175,16.4545,929.5924,29.0,861.0,672.0,189.0,4.0249224,26.564985,0.1
2024-01-02 15:00:00,27.7545,49.265583,16.154501,929.19885,73.0,957.0,776.0,181.0,2.5455842,315.0001,0.1
2024-01-02 16:00:00,28.6045,46.14425,15.9045,928.6858,57.0,926.0,710.0,216.0,3.6,216.86998,0.2
2024-01-02 17:00:00,28.5045,46.859627,16.0545,928.2924,53.0,847.0,637.0,210.0,10.383987,146.3099,0.4
2024-01-02 18:00:00,26.3045,58.0731,17.404501,927.4412,79.0,791.0,620.0,171.0,18.440998,141.34016,0.8
2024-01-02 19:00:00,25.3045,68.98294,19.2045,926.7182,31.0,604.0,474.0,130.0,22.473343,144.78232,0.1
2024-01-02 20:00:00,23.8545,73.37853,18.8045,926.69916,100.0,444.0,332.0,112.0,23.933908,136.2188,0.1
2024-01-02 21:00:00,23.1045,74.64151,18.3545,926.95636,100.0,186.0,90.0,96.0,17.566378,134.16977,0.0
2024-01-02 22:00:00,21.404501,81.234085,18.0545,927.68787,82.0,44.0,21.0,23.0,17.581125,132.5104,0.0
2024-01-02 23:00:00,21.2545,82.24226,18.1045,928.197,46.0,0.0,0.0,0.0,14.565548,129.98683,0.0
2024-01-03 00:00:00,20.9545,83.246315,18.0045,928.75653,100.0,0.0,0.0,0.0,12.181625,108.970505,0.0
2024-01-03 01:00:00,20.154501,88.00623,18.1045,928.7204,99.0,0.0,0.0,0.0,6.87779,96.00892,0.0
2024-01-03 02:00:00,19.8045,90.78519,18.2545,928.44104,88.0,0.0,0.0,0.0,5.2416787,105.945465,0.0
2024-01-03 03:00:00,19.2545,94.23631,18.3045,927.73944,40.0,0.0,0.0,0.0,5.1544156,102.09474,0.0
2024-01-03 04:00:00,19.2545,94.23631,18.3045,927.1898,99.0,0.0,0.0,0.0,4.0249224,116.56499,0.0
2024-01-03 05:00:00,19.0545,95.41802,18.3045,926.9515,100.0,0.0,0.0,0.0,5.0142193,111.03758,0.0
2024-01-03 06:00:00,18.904501,96.61767,18.3545,926.6354,100.0,0.0,0.0,0.0,5.154415,114.775116,0.0
2024-01-03 07:00:00,19.0045,96.620224,18.4545,926.5712,100.0,0.0,0.0,0.0,6.4799995,90.0,0.0
